state,year,pop_tot,pop_male_pcp,pop_white_pcp,pop_black_pcp,pop_hisp_pcp,empl_notinlabor_pcp,rentpct_median,rentpct_50plus_pcp,hmls_unshelt_pcp,hmls_shelt_pcp,shelter_beds_pcp,temp_degf,precip_in,illicit_pastmon_pcp,restriction,conservative,moderate,liberal,undecided,clusterpred
MS,2016,2988726,0.482123152139072,0.568215687888418,0.3797464203811256,0.02902005737561757,0.42876588543207395,29.1,0.20614844412834507,0.0002840675257618129,0.00029745115477297017,0.00046273897306076236,43.7,3.6,0.06591437287994951,0,0.45,0.3,0.19,0.06,0
MS,2017,2984100,0.4847267182735163,0.5658144834288396,0.3801256660299588,0.02883113836667672,0.43452732248337045,29.2,0.20223304499527514,0.00024094366810763714,0.00025233738815723334,0.00044301464428135785,52.9,6.7,0.07606983680171577,0,0.45,0.3,0.19,0.06,0
MS,2018,2986530,0.4844515206611017,0.5639575025196465,0.3802402788520457,0.02917298671032938,0.43421943123087714,30,0.21687687091236682,0.00020793362196261213,0.0002447656645002729,0.00036128885361941785,40.1,3.66,0.0716550645732673,0,0.45,0.3,0.19,0.06,0
MS,2019,2976149,0.48215227127405247,0.5629839097437662,0.3798895821412167,0.030288470100119317,0.4310584840212361,29.2,0.20631406815767372,0.0001632982757247705,0.0002345312684277568,0.000367253118039453,46.3,6.17,0.07560105357628263,0,0.45,0.3,0.19,0.06,0
MO,2011,6010688,0.49008632622421927,0.8078872169042878,0.11452582466433127,0.03599787578393688,0.360174473997076,29.9,0.23721096247140874,0.0003778269642343772,0.0011176757136620633,0.0013535888071382178,26.7,1.02,0.06022605066175453,0,0.39,0.32,0.21,0.08,0
MO,2012,6021988,0.49046776579428586,0.8051756330301555,0.11485094291121138,0.03678502846568276,0.3625972490242907,30.5,0.23661767752645452,0.00038924023096691655,0.0013106967333711061,0.0013704776562158544,36.3,1.3,0.06177362027290655,0,0.39,0.32,0.21,0.08,0
MO,2013,6044171,0.4897945475070113,0.8039365530856093,0.11453812276323751,0.038011499012850565,0.3633207241736596,29.5,0.2243321404180457,0.0003441332152912285,0.0010755817464462869,0.001272465653271557,33.8,3.33,0.07329375691058376,0,0.39,0.32,0.21,0.08,0
MO,2014,6063589,0.4898935267545343,0.799495810154679,0.11735640393832761,0.03847968587580722,0.3726631649398667,29.2,0.21784099499090714,0.00016046602103143864,0.001040472894848249,0.0012012687535385396,25.8,1.09,0.07668725568306163,0,0.39,0.32,0.21,0.08,0
MO,2015,6083672,0.4904348886659241,0.7986571268142004,0.11670073600286143,0.039517745203883445,0.3687048888022308,28.3,0.20847143747287147,0.00017604499387869694,0.000889429936393678,0.0011013085518088417,31.2,1.19,0.11226772252021476,0,0.39,0.32,0.21,0.08,0
MO,2016,6093000,0.4914903988183161,0.7963357951747907,0.11536944034137535,0.039974889217134414,0.3702772152845777,27.3,0.19301311346233438,0.00019957328081404892,0.0008170031183325127,0.0010715575250287216,30.9,0.9,0.08583620548170032,0,0.39,0.32,0.21,0.08,0
MO,2017,6113532,0.4911553583100571,0.7941106712126477,0.11423510991682059,0.04184209717066992,0.36993327465869785,27.7,0.19904854331982264,0.0001884344434608341,0.0007990470974879988,0.0009907529722589167,35.4,1.84,0.08603864345520723,0,0.39,0.32,0.21,0.08,0
MO,2018,6126452,0.4901964464913787,0.7928200531074103,0.11496490954307648,0.04137370210359928,0.37513794061263056,28.1,0.2058267981289372,0.0001981571062664002,0.0007621050487296725,0.0009179864626377551,28,1.64,0.08504106455090156,0,0.39,0.32,0.21,0.08,0
MO,2019,6137428,0.49013511848937374,0.7909502156277841,0.1145525454636698,0.04306918142257636,0.37409249832504243,27.5,0.19002917168738045,0.00015902426879793946,0.0008477492526185236,0.0009557749598040091,31,3.04,0.08847354298901755,0,0.39,0.32,0.21,0.08,0
MT,2011,998199,0.5012136858482126,0.874202438591904,null,0.029383920440713727,0.34549922988015086,28.5,0.18803207896360272,0.0005529959456982025,0.0012181939673351707,0.0012091777290900913,19.1,1.77,0.10018042494532653,0,0.44,0.31,0.21,0.05,0
MT,2012,1005141,0.5008829606990463,0.8722975184576094,null,0.03130406579773385,0.353824782367105,28.8,0.20760416202817236,0.0006765220003959643,0.0011471027447890396,0.001403783150821626,25.1,1.23,0.09650387358589492,0,0.44,0.31,0.21,0.05,0
MT,2013,1015165,0.49944393275969917,0.8703757517250891,null,0.032685327015805316,0.362713451324397,28.8,0.2361390810662188,0.0007722882487083381,0.001077657326641482,0.0014303093585771771,21.7,1.05,0.09259578492166298,0,0.44,0.31,0.21,0.05,0
MT,2014,1023579,0.5015821934603973,0.8670957493266275,null,0.033869393569035705,0.36351330661722,28.4,0.19754391554313352,0.0008147881111277195,0.0008900143516035402,0.0013062010846256126,24.5,1.21,0.09281159539224623,0,0.44,0.31,0.21,0.05,0
MT,2015,1032949,0.5024701122707897,0.8660108098270098,null,0.03611214106407964,0.3773633558297215,28,0.19524415460473993,0.00084418495007982,0.0008103013798357906,0.0011849568565340592,24.7,1.18,0.128757566927312,0,0.44,0.31,0.21,0.05,0
MT,2016,1042520,0.5045687372904117,0.8641407359091432,null,0.03557725511261175,0.36561323712057825,27.3,0.17556523698640428,0.0006043049533821893,0.0007558607988335955,0.0012057322641292254,23.4,0.91,0.1103096343475425,0,0.44,0.31,0.21,0.05,0
MT,2017,1050493,0.5010571227033402,0.8626625784274622,null,0.03706164629369258,0.36166641863849064,27.5,0.19032075153632783,0.000517852094207196,0.0009376549867538385,0.0012279948557486818,15.2,0.91,0.11994368358475496,0,0.44,0.31,0.21,0.05,0
MT,2018,1062305,0.503416627051553,0.8586987729512711,null,0.039164834957945226,0.3644243636550145,27.4,0.20852118544475545,0.00035112326497568967,0.00097147241140727,0.0012952965485430268,21.7,1.16,0.1317888930203661,1,0.44,0.31,0.21,0.05,0
MT,2019,1068778,0.5026020370928294,0.8575691116396482,null,0.0377328126140321,0.37270675705829986,27.9,0.2000440544807078,0.0003227985605991141,0.0009468757777574015,0.0012341197142905261,24.7,1.04,0.13754025625527472,1,0.44,0.31,0.21,0.05,0
NE,2011,1842641,0.4952109499354459,0.8177534310807151,0.04542013338463651,0.09412034140128218,0.2932996666636391,27.1,0.19907136772835834,0.00027514855036873704,0.0016503486029020302,0.0020660562746622918,20.4,0.93,0.05372723172880664,0,0.41,0.29,0.21,0.09,0
NE,2012,1855525,0.49748669514018945,0.8132824941728083,0.04606944126325434,0.09640613842443513,0.29599506444982826,27.1,0.18756074645240717,0.00044839061721076243,0.0015936190566012314,0.0019762600881152235,30.4,0.16,0.054970965090742514,0,0.41,0.29,0.21,0.09,0
NE,2013,1868516,0.4951919063042543,0.8095777611751785,0.04603118196472495,0.09803608853228979,0.3012271338425316,27.5,0.20462908107541702,0.00009258684431923516,0.0015905670596344907,0.0018897349554405742,25.5,0.32,0.055123959334573536,0,0.41,0.29,0.21,0.09,0
NE,2014,1881503,0.49757932886633716,0.8044669607223587,0.04710064241194407,0.10113191421964249,0.2967729583551284,26.6,0.1897260301117201,0.000057932408292731927,0.0015503562843110002,0.001831514486025268,25.4,0.22,0.05580644835538397,0,0.41,0.29,0.21,0.09,0
NE,2015,1896190,0.4970962825455255,0.8005632346969449,0.047745742778940926,0.10387566646802272,0.305731103626378,26.9,0.18552597875987625,0.00006486691734478085,0.0013822454500867529,0.0015678808558214103,27.2,0.21,0.08754396974986683,0,0.41,0.29,0.21,0.09,0
