year	state	hmls_es	hmls_th	hmls_sh	hmls_unsh	es	th	sh	rrh	psh	oph
2015	NY	75646	8400	182	4022	77017	9345	216	3055	39971	602
2015	OH	6942	3056	85	1099	6676	3506	91	3707	15824	0
2015	OK	2309	665	25	778	2933	846	25	104	1517	10
2015	OR	3214	2608	9	7395	3062	3072	10	2000	5889	79
2015	PA	7576	6155	262	1428	8452	7420	268	2604	13610	1087
2015	PR	399	959	63	3097	646	1391	75	272	1721	284
2015	RI	743	332	0	36	705	437	0	373	1506	118
2015	SC	1639	1807	12	1896	1676	2067	12	265	1976	104
2015	SD	642	258	0	136	1112	348	0	80	621	0
2015	TN	3540	2324	15	3244	4237	2728	16	740	4800	99
2015	TX	10244	5829	119	7486	13382	7302	128	2059	13058	438
2015	UT	1912	865	22	226	1697	1039	24	637	2403	2
2015	VA	4453	1688	49	811	3942	2079	56	2029	4020	312
2015	VI	53	32	0	252	82	46	0	0	35	0
2015	VT	1082	287	4	150	583	316	4	315	529	0
2015	WA	6624	5630	44	7121	7415	7016	45	6415	9628	3601
2015	WI	3112	2443	60	442	3656	2983	64	514	2918	95
2015	WV	1020	370	13	432	1279	523	13	158	1166	148
2015	WY	231	276	0	291	450	403	0	15	207	0
2016	AK	1007	491	0	442	1095	731	0	72	653	130
2016	AL	1601	1258	34	1218	1912	1543	34	927	3394	113
2016	AR	1092	514	10	847	1731	663	0	279	1149	36
2016	AZ	3701	2722	40	3244	3922	2980	40	1902	7504	1320
2016	CA	21766	17860	126	78390	20240	21966	145	8807	56416	2841
2016	CO	4467	3098	46	2939	3541	4048	67	1124	3975	54
2016	CT	2370	859	0	673	2276	960	0	639	6627	0
2016	DC	6259	1773	0	318	6077	2237	0	3824	6567	2296
2016	DE	621	398	0	51	590	580	0	144	601	65
2016	FL	10526	7542	130	15361	11372	10081	122	5158	16766	1093
2016	GA	3963	3580	0	5366	4362	4430	0	1490	8784	28
2016	GU	105	7	0	973	125	21	0	0	160	0
2016	HI	1226	2361	26	4308	1714	2673	25	163	2132	0
2016	IA	1332	1589	0	143	1483	2085	0	642	1102	158
2016	ID	832	677	0	738	1075	831	0	291	839	0
2016	IL	4183	5459	94	1854	4597	6675	109	1188	13845	260
